timestamp,open,high,low,close,volume
2025-04-12 21:00:00,1649.24,1654.94,1645.57,1647.35,13088.6442
2025-04-12 22:00:00,1647.35,1656.34,1647.34,1649.85,9814.4367
2025-04-12 23:00:00,1649.85,1652.0,1642.95,1644.18,9264.0847
2025-04-13 00:00:00,1644.19,1649.49,1634.77,1642.1,13731.7489
2025-04-13 01:00:00,1642.09,1649.75,1609.09,1617.11,24993.8303
2025-04-13 02:00:00,1617.11,1628.44,1606.55,1625.4,24604.6817
2025-04-13 03:00:00,1625.41,1629.23,1621.61,1624.53,12047.0173
2025-04-13 04:00:00,1624.52,1624.66,1602.71,1609.0,21497.8109
2025-04-13 05:00:00,1608.99,1613.52,1597.47,1609.28,18123.4223
2025-04-13 06:00:00,1609.29,1623.32,1607.89,1616.99,9954.2754
2025-04-13 07:00:00,1616.99,1621.41,1610.96,1613.5,7664.784
2025-04-13 08:00:00,1613.51,1621.94,1608.8,1620.6,9737.6111
2025-04-13 09:00:00,1620.6,1627.81,1617.04,1627.14,10629.195
2025-04-13 10:00:00,1627.15,1628.2,1612.06,1617.92,15551.477
2025-04-13 11:00:00,1617.92,1618.86,1592.58,1604.28,36618.7234
2025-04-13 12:00:00,1604.29,1609.3,1599.93,1603.04,18631.8549
2025-04-13 13:00:00,1603.04,1607.8,1566.11,1574.26,41048.1573
2025-04-13 14:00:00,1574.27,1589.4,1568.37,1586.01,32098.669
2025-04-13 15:00:00,1586.01,1588.61,1579.73,1586.62,15529.9185
2025-04-13 16:00:00,1586.61,1602.45,1586.38,1595.69,23560.7006
2025-04-13 17:00:00,1595.7,1649.04,1594.25,1636.77,60020.6437
2025-04-13 18:00:00,1636.77,1647.18,1626.22,1629.96,24631.7614
2025-04-13 19:00:00,1629.97,1630.16,1562.01,1590.25,65289.8421
2025-04-13 20:00:00,1590.25,1617.08,1584.14,1590.76,36994.7641
2025-04-13 21:00:00,1590.76,1603.0,1572.24,1593.84,30282.5616
2025-04-13 22:00:00,1593.83,1599.9,1583.68,1586.17,15840.3287
2025-04-13 23:00:00,1586.18,1600.26,1581.78,1597.76,11052.8353
2025-04-14 00:00:00,1597.76,1633.98,1595.56,1611.85,37744.6452
2025-04-14 01:00:00,1611.85,1622.58,1609.09,1617.34,13380.2713
2025-04-14 02:00:00,1617.34,1660.32,1614.43,1635.44,54996.7326
2025-04-14 03:00:00,1635.44,1637.68,1625.85,1629.59,20711.7097
2025-04-14 04:00:00,1629.6,1642.19,1627.67,1636.52,16817.9083
2025-04-14 05:00:00,1636.53,1640.16,1620.65,1624.38,18804.0505
2025-04-14 06:00:00,1624.38,1628.04,1614.56,1623.77,15259.5954
2025-04-14 07:00:00,1623.76,1636.4,1612.63,1635.57,18010.9207
2025-04-14 08:00:00,1635.58,1642.12,1629.34,1638.28,13917.141
2025-04-14 09:00:00,1638.27,1645.24,1631.24,1641.34,15176.7137
2025-04-14 10:00:00,1641.34,1684.9,1639.09,1678.83,59770.4854
2025-04-14 11:00:00,1678.84,1691.5,1671.57,1675.32,51617.2419
